10:03:43.372 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:03:44.531 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:03:45.148 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.088 seconds (JVM running for 2.825)
10:04:31.508 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 10776 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:04:31.510 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:04:32.717 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:04:33.319 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.156 seconds (JVM running for 2.901)
10:05:00.934 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 13908 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:05:00.936 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:05:01.959 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:05:02.529 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 1.942 seconds (JVM running for 2.711)
10:05:18.154 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 10136 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:05:18.157 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:05:19.351 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:05:19.976 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.128 seconds (JVM running for 2.858)
10:07:21.977 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Starting EpidemicbigdataApplication using Java 11 on DESKTOP-2CU5T6G with PID 8840 (D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata\target\classes started by 91067 in D:\桌面\zsz\Junior_19011431\大数据技术导论\epidemicbigdata)
10:07:21.980 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - No active profile set, falling back to 1 default profile: "default"
10:07:23.191 [restartedMain] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.zszgroup.epidemicbigdata.pojo.Area ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
10:07:23.758 [restartedMain] INFO  c.z.epidemicbigdata.EpidemicbigdataApplication - Started EpidemicbigdataApplication in 2.435 seconds (JVM running for 3.386)
